stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PLASCHo,8327,PLAINFIELD RD & SCHNECK AVE,,39.206697,-84.399193,2,,,,,0
MONSTOo,8264,MONTGOMERY RD & STOLL LN,,39.193703,-84.397181,2,,,,,0
MONCARLo,8303,MONTGOMERY RD & CARROLL AVE,,39.19473,-84.39226,2,,,,,0
MONKENAo,8306,MONTGOMERY RD & KEN ARBRE DR,,39.195348,-84.390452,2,,,,,0
MONGARo,8608,MONTGOMERY RD & GARDEN RD,,39.196707,-84.386405,2,,,,,0
MON7875o,8824,MONTGOMERY RD 7875,,39.200494,-84.375791,2,,,,,0
MON7752o,8614,MONTGOMERY RD 7752,MONTGOMERY RD & CHETBERT DR,39.197402,-84.384418,2,,,,,0
MON8043o,8826,MONTGOMERY RD 8043,,39.201969,-84.37208,2,,,,,0
MONHOSo,8945,MONTGOMERY RD & HOSBROOK RD,,39.203624,-84.369395,2,,,,,0
GALMONTo,8947,GALBRAITH RD & MONTGOMERY RD,E GALBRAITH RD & MONTGOMERY RD,39.205441,-84.36871,2,,,,,0
GAL6401o,8831,GALBRAITH RD 6401,E GALBRAITH RD & NORTHCREEK DR,39.20581,-84.371614,2,,,,,0
GAL5532o,8833,GALBRAITH RD 5532,E GALBRAITH RD,39.20624,-84.375073,2,,,,,0
GALKENo,8835,GALBRAITH RD & KENWOOD RD,E GALBRAITH RD & EAST EPWORTH AVE,39.20667,-84.378544,2,,,,,0
GALFROo,8627,GALBRAITH RD & FROLIC DR,E GALBRAITH RD & FROLIC DR,39.207046,-84.382272,2,,,,,0
GALBLUo,8330,GALBRAITH RD & BLUE ASH RD,,39.207804,-84.390647,2,,,,,0
PLAKUGo,8340,PLAINFIELD RD & KUGLER MILL RD,,39.212191,-84.396739,2,,,,,0
PLA8568o,8343,PLAINFIELD RD 8568,,39.214593,-84.393529,2,,,,,0
PLAROSo,8348,PLAINFIELD RD & ROSSPLAIN RD,PLAINFIELD RD & CROSSGATE SQ,39.223057,-84.393203,2,,,,,0
PLARONo,8350,PLAINFIELD RD & RONALD REAGAN HWY,PLAINFIELD RD & ROSSPLAIN RD,39.224057,-84.393471,2,,,,,0
PLAHUNo,8351,PLAINFIELD RD & HUNT RD,,39.226561,-84.394081,2,,,,,0
PLAGEOo,8353,PLAINFIELD RD & GEORGETOWN RD,,39.228492,-84.39438,2,,,,,0
CEN15THo,4463,CENTRAL PKWY & 15TH ST,CENTRAL PKWY & W 15TH ST,39.111299,-84.520426,1,,,,,0
QUEGRAo,3372,QUEEN CITY AVE & GRAND AVE,,39.126128,-84.55305,1,,,,,0
QUE1860o,3124,QUEEN CITY AVE 1860,QUEEN CITY AVE & VAN HART ST,39.126336,-84.560421,1,,,,,0
QueSpeo,3127,Queen City Ave & Sperber St,QUEEN CITY AVE,39.127,-84.563303,1,,,,,0
QUEWYOo,2816,QUEEN CITY AVE & WYOMING AVE,QUEEN CITY AVE & TILLIE AVE,39.127725,-84.573736,1,,,,,0
QUESUNo,2821,QUEEN CITY AVE & SUNSET AVE,,39.128744,-84.577094,1,,,,,0
QUE2417o,2552,QUEEN CITY AVE 2417,QUEEN CITY AVE & VAN HART ST,39.12881,-84.582021,1,,,,,0
QUE2517o,2555,QUEEN CITY AVE 2517,QUEEN CITY AVE & RIDGETOP WAY,39.129502,-84.585256,1,,,,,0
QUELAFo,2556,QUEEN CITY AVE & LAFEUILLE AVE,QUEEN CITY AVE & VAN HART ST,39.130963,-84.587548,1,,,,,0
QUEERLo,2311,QUEEN CITY AVE & ERLENE DR,QUEEN CITY AVE & RIDGETOP WAY,39.130727,-84.590197,1,,,,,0
QUEGEHo,2312,QUEEN CITY AVE & GEHRUM LN,,39.131599,-84.592698,1,,,,,0
QUETIMo,2321,QUEEN CITY AVE & TIMBERCREST DR,,39.134679,-84.597667,1,,,,,0
QUEFERo,2024,QUEEN CITY AVE & FERGUSON RD,,39.135372,-84.600412,1,,,,,0
BOUIDEo,2037,BOUDINOT AVE & IDEAL TER,,39.137972,-84.604412,1,,,,,0
BOUWESo,2040,BOUDINOT AVE & WESTBROOK DR,,39.139096,-84.604298,1,,,,,0
WERMAYo,2052,WERK RD & MAYRIDGE CT,,39.140829,-84.609124,1,,,,,0
WERQUEo,1746,WERK RD & QUEEN CITY AVE,,39.140942,-84.611413,1,,,,,0
WERGLEo,1747,WERK RD & GLENMORE AVE,,39.141028,-84.613375,1,,,,,0
GLEHANo,1761,GLENMORE AVE & HANNA AVE,,39.14325,-84.613252,1,,,,,0
GLERENo,1763,GLENMORE AVE & RENFRO AVE,,39.144446,-84.61315,1,,,,,0
GLEDAYo,1767,GLENMORE AVE & DAYTONA AVE,,39.147061,-84.612899,1,,,,,0
APPGLEo,1804,APPLEGATE AVE & GLENMORE AVE,,39.148996,-84.613325,1,,,,,0
APPALBo,1807,APPLEGATE AVE & ALBERT ST,,39.149127,-84.615357,1,,,,,0
APPMAYo,1812,APPLEGATE AVE & MAYFAIR AVE,,39.149319,-84.618277,1,,,,,0
APPROBo,1529,APPLEGATE AVE & ROBB AVE,,39.149477,-84.620251,1,,,,,0
9THWALo,1096,9TH ST & WALNUT ST,9TH ST & BOWEN ST,39.105784,-84.511897,1,,,,,0
8THDALo,4010,8TH ST & DALTON AVE,W 8TH ST & DALTON AVE,39.104158,-84.536928,1,,,,,0
GLEWILo,3340,GLENWAY AVE & WILDER AVE,,39.106918,-84.553871,1,,,,,0
GLEWINo,3364,GLENWAY AVE & WING ST,GLENWAY AVE & GRAND AVE,39.113097,-84.558119,1,,,,,0
GRAPRIo,3074,GRAND AVE & PRICE AVE,,39.107036,-84.561143,1,,,,,0
GRA8THo,3069,GRAND AVE & 8TH ST,GRAND AVE & PRICE AVE,39.105858,-84.561234,1,,,,,0
8THELBo,3063,8TH ST & ELBERON AVE,W 8TH ST & ELBERON AVE,39.105745,-84.566475,1,,,,,0
